iso_code,date,daily_vaccinations,daily_people_vaccinated,people_fully_vaccinated,total_boosters
ABW,2021/3/29,,,10166,
AFG,2021/2/22,,,,
AGO,2021/3/1,,,,
AIA,2021/2/4,,,,
ALB,2021/1/10,,,,
AND,2021/1/25,,,,
ARE,2021/1/5,,,,
ARG,2020/12/29,,,2,1
ARM,2021/3/31,,,,
ATG,2021/2/16,,,,
AUS,2021/2/21,,,,
AUT,2021/1/8,,,3,
AZE,2021/1/17,,,,
BDI,2021/10/19,,,,
BEL,2020/12/28,,,,
BEN,2021/5/12,,,,
BES,2021/4/9,,,1665,
BFA,2021/6/2,,,,
BGD,2021/1/26,,,,
BGR,2020/12/29,,,,
BHR,2020/12/23,,,,
BHS,2021/3/13,,,,
BIH,2021/2/11,,,,
BLR,2020/12/28,,,,
BLZ,2021/2/28,,,,
BMU,2021/1/10,,,,
BOL,2021/2/2,,,,
BRA,2021/1/17,,,,
BRB,2021/2/15,,,,
BRN,2021/4/2,,,,
BTN,2021/3/26,,,,
BWA,2021/3/25,,,,
CAF,2021/5/12,,,,
CAN,2020/12/14,,,,
CHE,2020/12/21,,,,
CHL,2020/12/24,,,,
CHN,2020/12/15,,,,
CIV,2021/3/1,,,,
CMR,2021/4/11,,,,
COD,2021/4/18,,,,
COG,2021/4/14,,,,
COK,2021/5/25,,,,
COL,2021/2/17,,,,
COM,2021/4/21,,,,
CPV,2021/3/18,,,,
CRI,2020/12/24,,,,
CUB,2021/5/12,,,,
CUW,2021/3/29,,,4203,
CYM,2020/12/26,,,,
CYP,2021/1/6,,,,
CZE,2020/12/27,,,,
DEU,2020/12/27,,,,
DJI,2021/4/17,,,,
DMA,2021/2/11,,,,
DNK,2020/12/18,,,,
DOM,2021/2/15,,,,
DZA,2021/1/29,,,,
ECU,2021/1/20,,,,
EGY,2021/1/24,,,,
ESP,2021/1/4,,,,
EST,2020/12/27,,,6,
ETH,2021/4/8,,,,
FIN,2021/1/3,,,,
FJI,2021/3/17,,,,
FLK,2021/2/7,,,,
FRA,2020/12/27,,,,
FRO,2021/1/29,,,1,
GAB,2021/3/22,,,,
GBR,2021/1/10,,,391399,
GEO,2021/3/14,,,,
GGY,2021/1/24,,,522,
GHA,2021/3/1,,,,
GIB,2021/1/10,,,,
GIN,2021/3/19,,,,
GMB,2021/3/9,,,,
GNB,2021/5/12,,,,
GNQ,2021/3/16,,,800,
GRC,2020/12/28,,,,
GRD,2021/2/11,,,,
GRL,2021/1/27,,,,
GTM,2021/2/25,,,,
GUY,2021/2/11,,,,
HKG,2021/2/22,,,,
HND,2021/2/28,,,,
HRV,2020/12/30,,,,
HTI,2021/7/16,,,,
HUN,2020/12/28,,,,
IDN,2021/1/12,,,,
IMN,2021/1/21,,,,
IND,2021/1/15,,,,
IRL,2021/5/20,,,745405,
IRN,2021/2/8,,,,
IRQ,2021/3/1,,,,
ISL,2020/12/30,,,,
ISR,2020/12/19,,,4,
ITA,2020/12/27,,,,
JAM,2021/3/9,,,,
JEY,2021/3/14,,,5621,
JOR,2021/1/12,,,,
JPN,2021/2/17,,,,
KAZ,2021/1/31,,,,
KEN,2021/3/4,,,,
KGZ,2021/3/28,,,,
KHM,2021/2/9,,,,
KIR,2021/6/1,,,,
KNA,2021/2/22,,,,
KOR,2021/2/26,,,11394,2
KWT,2020/12/28,,,,
LAO,2021/3/17,,,,
LBN,2021/2/13,,,,
LBR,2021/5/12,,,,
LBY,2021/4/17,,,,
LCA,2021/2/16,,,,
LIE,2020/12/21,,,,
LKA,2021/1/28,,,,
LSO,2021/3/9,,,,
LTU,2020/12/27,,,,
LUX,2020/12/28,,,,
LVA,2020/12/4,,,,
MAC,2021/2/8,,,,
MAR,2021/1/28,,,,
MCO,2020/12/30,,,,
MDA,2021/3/5,,,,
MDG,2021/5/12,,,,
MDV,2021/2/2,,,,
MEX,2020/12/24,,,,
MKD,2021/2/16,,,,
MLI,2021/3/30,,,,
MLT,2021/1/17,,,,
MMR,2021/1/26,,,,
MNE,2021/2/20,,,,
MNG,2021/2/22,,,,
MOZ,2021/3/7,,,,
MRT,2021/3/26,,,,
MSR,2021/2/8,,,,
MUS,2021/1/25,,,,
MWI,2021/3/17,,,,
MYS,2021/2/24,,,3,
NAM,2021/3/18,,,,
NCL,2021/2/2,,,,
NER,2021/3/28,,,,
NGA,2021/3/4,,,,
NIC,2021/3/1,,,,
NIU,2021/6/21,,,,
NLD,2021/1/8,,,,
NOR,2020/12/2,,,,
NPL,2021/1/26,,,,
NRU,2021/4/8,,,,
NZL,2021/2/14,,,,
OMN,2020/12/28,,,,
OWID_AFR,2021/1/9,0,0,,
OWID_ASI,2020/12/15,0,0,,
OWID_CYN,2021/1/14,,,,
OWID_ENG,2021/1/10,,,374613,
OWID_EUN,2020/12/4,0,0,,
OWID_EUR,2020/12/2,0,0,,
OWID_HIC,2020/12/2,0,0,,
OWID_KOS,2021/3/28,,,,
OWID_LIC,2021/2/15,0,0,,
OWID_LMC,2021/1/12,0,0,,
OWID_NAM,2020/12/13,0,0,9669,
OWID_NIR,2021/1/10,,,13949,
OWID_OCE,2021/2/2,0,0,,
OWID_SAM,2020/12/24,0,0,,
OWID_SCT,2021/1/10,,,2758,
OWID_UMC,2020/12/15,0,0,,
OWID_WLS,2021/1/10,,,79,
OWID_WRL,2020/12/2,0,0,,
PAK,2021/2/2,,,,
PAN,2021/1/20,,,,
PCN,2021/6/15,,,,
PER,2021/2/9,,,,
PHL,2021/2/28,,,,
PNG,2021/3/30,,,,
POL,2020/12/28,,,,
PRT,2021/1/1,,,6,5
PRY,2021/2/22,,,,
PSE,2021/3/30,,,7978,
PYF,2021/2/2,,,,
QAT,2020/12/22,,,,
ROU,2020/12/27,,,,
RUS,2020/12/15,,,,
RWA,2021/2/15,,,,
SAU,2021/1/6,,,,
SDN,2021/3/10,,,,
SEN,2021/2/22,,,,
SGP,2020/12/30,,,37,
SHN,2021/2/3,,,,
SLB,2021/3/23,,,,
SLE,2021/3/14,,,,
SLV,2021/2/17,,,,
SMR,2021/2/27,,,,
SOM,2021/4/17,,,,
SRB,2021/1/8,,,,
SSD,2021/4/5,,,,
STP,2021/3/15,,,,
SUR,2021/2/22,,,,
SVK,2021/1/3,,,,1
SVN,2020/12/27,,,,
SWE,2021/1/3,,,,
SWZ,2021/3/30,,,,
SXM,2021/5/7,,,9956,
SYC,2021/1/9,,,,
SYR,2021/3/1,,,,
TCA,2021/1/10,,,,
TCD,2021/6/10,,,,
TGO,2021/3/9,,,,
THA,2021/2/27,,,,
TJK,2021/5/7,,,,
TKL,2021/6/21,,,,
TKM,2021/2/28,,,19506,
TLS,2021/4/14,,,,
TON,2021/4/20,,,,
TTO,2021/2/15,,,,
TUN,2021/3/12,,,,
TUR,2021/1/13,,,,
TUV,2021/4/27,,,,
TWN,2021/3/21,,,,
TZA,2021/8/8,,,105745,
UGA,2021/3/9,,,,
UKR,2021/2/24,,,,
URY,2021/2/27,,,1,
USA,2020/12/13,,,9669,
UZB,2021/3/31,,,,
VCT,2021/3/17,,,,
VEN,2021/2/17,,,,
VGB,2021/5/21,,,3776,
VNM,2021/3/7,,,,
VUT,2021/6/1,,,,
WLF,2021/3/23,,,,
WSM,2021/5/4,,,,
YEM,2021/5/9,,,,
ZAF,2021/2/16,,,,
ZMB,2021/4/14,,,,
ZWE,2021/2/18,,,,